enrollment_id,student_id,course_id,enrollment_date
1,787,4,2024-11-06
2,677,26,2025-03-14
3,21,41,2025-05-27
4,1257,16,2023-09-17
5,906,87,2024-02-27
6,1224,61,2024-08-05
7,474,4,2025-04-16
8,1384,85,2024-09-26
9,1302,35,2023-11-02
10,127,29,2023-06-11
11,306,82,2023-06-11
12,898,37,2024-03-07
13,953,88,2025-03-20
14,76,100,2025-04-15
15,794,46,2024-03-25
16,1072,91,2024-05-15
17,219,90,2024-12-19
18,946,34,2023-10-06
19,634,92,2025-02-02
20,1318,5,2024-11-28
21,961,38,2024-11-12
22,704,46,2023-08-19
23,242,77,2023-12-24
24,1360,83,2023-11-05
25,1177,83,2024-08-20
26,973,77,2024-03-13
27,149,42,2024-01-06
28,1188,54,2025-01-31
29,819,15,2025-04-03
30,1368,88,2024-05-26
31,1067,36,2023-07-30
32,823,56,2025-01-02
33,1384,15,2023-10-11
34,1485,98,2024-07-05
35,96,87,2023-08-29
36,516,27,2024-05-18
37,244,66,2024-05-15
38,1219,3,2023-08-11
39,1292,35,2023-11-30
40,490,7,2024-10-09
41,221,33,2023-12-21
42,782,18,2024-10-25
43,718,46,2025-02-05
44,139,38,2023-06-15
45,812,90,2024-12-18
46,608,84,2024-04-26
47,1307,79,2024-05-27
48,197,47,2025-01-27
49,598,53,2024-06-03
50,61,46,2023-09-27
51,817,99,2024-07-09
52,165,58,2023-11-08
53,840,55,2024-07-08
54,272,97,2025-03-08
55,909,90,2025-02-27
56,639,70,2023-06-05
57,649,10,2024-05-26
58,246,81,2025-02-28
59,658,77,2025-04-07
60,276,10,2024-08-14
61,727,31,2023-09-05
62,897,88,2024-04-15
63,120,9,2024-09-10
64,803,70,2023-06-09
65,387,62,2024-02-26
66,121,67,2024-01-25
67,1143,95,2024-04-12
68,50,80,2023-11-20
69,574,62,2024-08-08
70,21,8,2023-07-15
71,168,71,2024-07-26
72,151,37,2024-02-27
73,1134,68,2024-02-17
74,1196,88,2024-01-28
75,4,40,2024-08-07
76,268,13,2024-04-25
77,207,27,2024-09-10
78,885,63,2024-04-24
79,375,100,2024-07-29
80,799,90,2024-11-05
81,665,6,2025-04-25
82,504,54,2025-01-17
83,1086,24,2023-11-04
84,1061,98,2023-07-25
85,332,66,2025-04-15
86,1136,100,2024-05-02
87,1264,52,2024-07-17
88,677,42,2024-11-18
89,1236,77,2023-07-27
90,751,40,2024-01-29
91,20,8,2023-09-09
92,191,96,2023-09-03
93,705,50,2023-12-14
94,599,54,2023-11-12
95,175,50,2024-07-01
96,20,49,2024-02-26
97,1209,66,2024-11-29
98,1176,78,2024-03-09
99,1417,89,2023-08-31
100,480,52,2023-11-08
101,614,23,2025-04-27
102,26,58,2024-12-04
103,1029,42,2023-10-24
104,1033,94,2024-05-24
105,320,31,2024-05-09
106,484,76,2024-03-09
107,1017,75,2023-09-12
108,624,33,2024-08-03
109,1120,58,2024-08-17
110,14,13,2024-03-12
111,962,2,2024-02-23
112,272,11,2024-05-09
113,87,24,2024-11-06
114,1215,9,2024-12-20
115,1300,14,2024-04-28
116,1246,4,2023-07-03
117,1270,23,2023-07-31
118,823,43,2024-12-19
119,806,32,2025-02-20
120,1139,4,2024-10-06
121,94,52,2024-06-21
122,207,35,2023-08-30
123,22,54,2024-01-18
124,1452,84,2024-05-21
125,130,95,2024-02-03
126,967,24,2024-05-16
127,1202,58,2024-09-25
128,1067,42,2024-08-02
129,1261,37,2024-01-10
130,1167,21,2023-06-21
131,477,24,2025-01-25
132,349,69,2024-12-02
133,1212,27,2023-08-07
134,844,75,2023-07-27
135,1210,7,2023-06-16
136,1440,93,2024-05-14
137,574,23,2025-02-04
138,727,41,2025-04-22
139,1356,36,2023-08-28
140,91,59,2024-02-15
141,783,87,2023-09-03
142,152,25,2025-01-25
143,518,20,2025-04-19
144,428,12,2025-04-05
145,899,57,2024-05-23
146,1335,34,2025-04-25
147,872,31,2023-10-31
148,370,73,2024-05-11
149,210,45,2024-02-27
150,1136,21,2024-07-15
151,1261,72,2023-10-31
152,993,74,2023-12-08
153,273,100,2024-03-23
154,937,55,2024-05-28
155,452,88,2024-08-17
156,1281,49,2025-03-03
157,143,32,2023-07-29
158,1040,31,2024-08-11
159,337,45,2024-03-14
160,356,41,2025-02-16
161,710,38,2024-04-02
162,1021,96,2024-06-18
163,379,13,2023-11-29
164,1315,89,2024-08-18
165,1391,12,2024-09-25
166,911,28,2023-07-22
167,184,40,2024-11-25
168,596,80,2023-11-27
169,96,58,2023-11-20
170,134,91,2024-08-28
171,1427,51,2024-10-18
172,616,27,2025-05-12
173,429,33,2023-12-16
174,1145,29,2023-11-04
175,591,81,2025-04-13
176,1304,38,2023-11-14
177,398,71,2025-03-23
178,732,96,2023-07-07
179,37,71,2024-02-08
180,806,63,2024-06-09
181,818,16,2024-03-26
182,1172,55,2024-01-09
183,199,91,2024-04-11
184,835,53,2025-04-10
185,618,51,2025-03-15
186,936,42,2025-05-19
187,484,67,2024-04-23
188,348,74,2024-11-22
189,1136,19,2024-06-30
190,1033,87,2023-07-25
191,587,54,2025-01-21
192,442,75,2024-09-01
193,576,46,2025-03-22
194,57,98,2024-05-05
195,1307,5,2025-03-19
196,114,54,2024-07-11
197,852,82,2023-11-03
198,426,21,2025-04-09
199,336,61,2024-10-06
200,754,13,2024-11-01
201,478,28,2023-12-05
202,932,5,2025-05-17
203,1141,47,2024-11-22
204,1066,31,2023-10-05
205,579,70,2024-01-15
206,547,14,2023-07-01
207,1286,50,2024-04-23
208,543,84,2025-02-03
209,1391,31,2024-08-28
210,74,73,2024-11-10
211,854,25,2023-07-21
212,381,84,2024-03-29
213,10,91,2024-06-26
214,1109,14,2024-02-20
215,1076,27,2024-09-09
216,606,94,2025-05-19
217,1139,81,2025-03-04
218,835,39,2024-04-28
219,1056,1,2024-12-13
220,121,21,2023-07-11
221,1101,29,2023-08-02
222,1000,73,2023-06-29
223,36,66,2024-02-23
224,77,63,2024-06-26
225,1167,10,2024-02-06
226,441,39,2024-08-10
227,653,65,2024-05-12
228,1184,27,2024-12-28
229,1269,58,2023-10-04
230,264,26,2024-12-28
231,330,77,2023-09-30
232,246,40,2024-03-22
233,1095,81,2025-02-04
234,419,68,2024-09-09
235,14,26,2024-05-27
236,1495,16,2024-06-16
237,178,17,2023-09-23
238,1264,59,2024-02-05
239,399,5,2024-05-25
240,737,89,2024-05-05
241,769,5,2024-11-07
242,721,55,2025-04-20
243,508,1,2023-07-18
244,1211,9,2023-07-12
245,573,23,2024-07-12
246,694,26,2025-05-08
247,18,58,2024-10-02
248,1153,91,2024-01-08
249,1040,4,2023-11-10
250,523,22,2023-10-11
251,1289,7,2024-03-03
252,1110,4,2023-07-22
253,12,72,2024-07-28
254,1155,46,2024-08-31
255,1148,2,2024-07-23
256,1071,40,2023-10-08
257,1361,55,2024-09-14
258,1082,65,2025-01-01
259,281,26,2024-12-16
260,722,12,2025-02-12
261,646,60,2024-09-21
262,753,72,2024-02-13
263,872,40,2025-05-15
264,855,52,2024-11-23
265,491,10,2023-07-27
266,975,18,2024-10-25
267,788,6,2024-12-10
268,401,2,2024-06-28
269,1429,43,2025-03-29
270,480,91,2023-09-24
271,1421,32,2024-03-19
272,603,9,2024-01-07
273,1448,31,2024-06-28
274,916,82,2023-12-25
275,942,19,2024-06-21
276,1011,24,2023-10-06
277,784,63,2025-05-17
278,1071,5,2024-02-13
279,859,7,2024-11-07
280,410,88,2025-01-06
281,810,11,2024-01-22
282,164,12,2024-11-22
283,503,39,2023-10-24
284,1218,37,2024-11-20
285,1026,46,2023-10-02
286,1357,18,2023-08-26
287,220,91,2023-07-26
288,37,75,2024-10-23
289,848,79,2023-11-20
290,1010,72,2023-09-03
291,1275,100,2024-03-21
292,1252,68,2024-11-29
293,1303,42,2025-04-10
294,882,31,2024-07-25
295,575,21,2024-08-07
296,1053,59,2024-02-27
297,1313,14,2025-04-23
298,131,50,2023-10-08
299,1474,20,2024-02-04
300,151,85,2024-11-21
301,386,6,2025-05-03
302,1477,44,2023-08-21
303,741,92,2024-01-31
304,763,23,2023-10-12
305,1404,44,2024-08-28
306,316,68,2024-10-09
307,181,64,2025-05-25
308,922,21,2024-08-09
309,764,24,2025-03-07
310,790,1,2024-09-04
311,1167,85,2024-02-17
312,1007,28,2023-09-30
313,518,57,2025-04-05
314,1035,76,2023-10-04
315,1194,33,2023-11-11
316,1124,54,2024-06-29
317,1060,9,2024-01-29
318,750,20,2024-03-25
319,182,57,2024-10-08
320,1429,97,2024-08-05
321,1099,52,2024-08-03
322,384,85,2024-10-11
323,164,35,2023-11-10
