log_id,student_id,course_id,activity_type,timestamp,duration_min
1,156,99,Quiz,2023-06-04 20:49:03,78
2,431,100,Quiz,2024-01-08 07:58:01,115
3,295,66,Reading,2024-02-09 09:17:09,88
4,1374,44,Quiz,2024-06-17 22:40:52,91
5,1109,27,Discussion,2023-09-07 22:39:43,117
6,1215,100,Discussion,2024-08-10 17:27:37,115
7,8,44,Discussion,2024-12-24 14:46:43,57
8,387,26,Reading,2023-09-12 17:19:41,12
9,1290,93,Quiz,2025-01-26 02:08:12,64
10,1297,91,Discussion,2024-01-29 00:13:59,70
11,368,67,Reading,2024-08-31 07:23:57,42
12,698,69,Discussion,2024-10-21 10:19:57,119
13,143,13,Quiz,2023-11-20 02:42:57,10
14,710,6,Assignment,2025-05-14 13:10:46,92
15,869,65,Discussion,2024-09-05 21:59:51,79
16,1478,100,Assignment,2024-04-23 07:05:45,36
17,1459,80,Quiz,2023-09-12 03:27:28,29
18,879,96,Discussion,2024-09-22 02:28:16,16
19,258,89,Quiz,2025-04-05 18:38:48,96
20,1122,5,Quiz,2023-09-27 21:28:08,45
21,915,15,Video,2023-10-28 06:01:20,104
22,555,67,Video,2024-03-26 23:13:52,47
23,1223,85,Quiz,2025-04-06 13:00:46,4
24,875,91,Discussion,2025-03-20 05:44:11,6
25,971,84,Quiz,2024-09-18 21:49:06,31
26,1491,32,Discussion,2024-03-27 23:22:53,99
27,594,17,Video,2024-05-03 08:31:46,32
28,438,1,Discussion,2024-04-11 23:00:02,104
29,1278,56,Video,2023-10-27 07:19:29,117
30,741,19,Quiz,2024-01-10 23:16:45,29
31,38,38,Discussion,2024-10-13 18:47:16,84
32,340,76,Assignment,2024-01-20 15:35:49,47
33,1426,100,Quiz,2024-05-31 09:13:22,45
34,884,38,Assignment,2023-11-08 12:04:22,12
35,256,67,Reading,2024-08-29 07:36:21,99
36,219,84,Reading,2024-02-08 13:22:48,71
37,1391,66,Video,2023-10-23 20:06:01,99
38,393,91,Discussion,2025-03-07 09:41:08,39
39,1478,26,Video,2023-07-02 20:24:41,38
40,517,7,Discussion,2024-02-28 13:58:41,23
41,183,45,Video,2024-05-25 03:36:00,64
42,1290,6,Quiz,2024-06-30 05:32:02,80
43,1048,69,Video,2024-04-21 22:16:08,62
44,1231,15,Assignment,2024-11-08 08:28:13,68
45,1275,34,Reading,2025-02-28 08:24:20,18
46,948,42,Discussion,2024-09-27 06:57:39,93
47,1221,30,Video,2024-06-15 07:26:03,37
48,66,25,Discussion,2023-10-29 14:57:42,63
49,1364,31,Video,2024-06-02 00:51:22,106
50,368,60,Assignment,2024-01-21 22:19:47,117
51,1077,5,Discussion,2024-04-07 00:36:20,69
52,165,54,Assignment,2023-12-24 08:51:41,89
53,68,4,Discussion,2024-02-24 07:51:29,95
54,1247,42,Discussion,2024-08-12 03:26:23,12
55,507,38,Assignment,2023-09-04 06:07:06,69
56,1070,62,Discussion,2024-10-05 09:07:19,5
57,37,8,Reading,2023-08-26 23:30:39,1
58,1357,67,Reading,2024-05-15 17:31:07,75
59,653,9,Discussion,2024-02-08 14:45:52,54
60,133,7,Assignment,2024-08-11 15:14:01,55
61,1485,57,Quiz,2024-08-28 13:19:13,26
62,645,13,Assignment,2023-10-31 15:48:37,107
63,365,66,Video,2024-09-20 13:07:31,22
64,34,31,Assignment,2025-01-01 22:08:27,64
65,747,25,Video,2025-03-02 11:08:31,76
66,887,60,Discussion,2023-11-23 02:54:54,68
67,628,47,Reading,2024-11-25 05:31:35,67
68,371,74,Assignment,2025-01-27 00:34:14,46
69,1267,58,Quiz,2025-04-04 05:02:28,33
70,768,85,Reading,2024-05-03 05:58:42,20
71,655,33,Discussion,2025-01-23 03:24:49,84
72,886,57,Discussion,2024-05-24 20:35:45,108
73,1048,96,Video,2024-05-19 01:39:54,84
74,197,7,Discussion,2025-06-01 18:40:39,48
75,237,87,Quiz,2024-04-20 14:28:24,117
76,1014,42,Assignment,2024-10-30 18:17:41,13
77,1413,60,Quiz,2023-07-04 18:52:17,99
78,161,84,Quiz,2024-08-25 06:44:56,95
79,373,34,Video,2024-08-04 12:23:01,76
80,828,90,Assignment,2024-01-06 17:41:26,33
81,772,79,Video,2024-11-21 05:06:01,43
82,931,21,Video,2024-06-26 15:57:19,86
83,332,27,Discussion,2025-03-14 17:30:25,65
84,605,4,Quiz,2025-04-28 09:51:08,30
85,950,69,Reading,2024-12-29 23:17:59,20
86,1255,69,Video,2025-04-23 21:57:34,38
87,825,78,Assignment,2023-12-18 18:08:11,26
88,853,89,Assignment,2023-11-12 13:24:23,65
89,1133,20,Reading,2024-07-16 09:02:05,57
90,1387,31,Quiz,2025-05-15 06:36:34,29
91,376,30,Discussion,2024-12-20 05:08:29,99
92,1332,89,Quiz,2024-02-17 06:14:52,13
93,1233,95,Discussion,2023-11-01 22:00:24,26
94,1500,6,Reading,2024-02-18 11:19:18,11
95,866,97,Discussion,2024-07-23 05:48:29,68
96,333,87,Quiz,2024-03-02 06:20:29,30
97,1335,90,Quiz,2024-08-10 11:23:36,35
98,394,16,Reading,2024-09-22 11:04:51,83
99,490,90,Video,2023-07-28 23:55:45,28
100,458,71,Quiz,2023-07-02 07:43:42,7
101,1277,69,Video,2023-06-19 03:45:41,119
102,1017,20,Discussion,2023-08-16 00:17:15,14
103,268,16,Assignment,2025-03-30 07:06:34,55
104,1208,4,Video,2024-01-13 21:11:04,34
105,114,71,Reading,2024-10-01 00:37:09,19
106,866,61,Reading,2023-06-19 01:45:49,31
107,642,13,Video,2024-04-10 18:54:57,39
108,763,13,Quiz,2024-09-06 19:48:35,23
109,1226,18,Quiz,2024-10-20 22:06:46,51
110,1176,4,Quiz,2024-08-13 12:46:54,74
111,759,24,Discussion,2023-07-25 20:40:08,62
112,313,85,Video,2025-03-10 07:51:37,107
113,79,70,Quiz,2023-08-12 18:12:25,44
114,592,13,Reading,2024-10-21 11:50:27,31
115,1230,93,Video,2023-07-25 20:03:50,70
116,406,45,Quiz,2024-01-20 07:45:13,100
117,339,100,Quiz,2024-03-08 04:35:58,50
118,227,49,Assignment,2025-04-19 10:47:30,105
119,702,78,Quiz,2024-09-22 08:48:24,54
120,627,78,Discussion,2024-04-01 21:53:30,56
121,1322,72,Quiz,2025-05-25 03:30:28,53
122,494,15,Assignment,2023-10-24 19:28:35,22
123,1417,38,Discussion,2024-03-04 06:59:59,80
124,766,76,Discussion,2024-02-28 05:44:17,92
125,59,31,Assignment,2023-11-13 04:09:16,60
126,125,46,Video,2025-03-24 07:59:39,112
127,775,59,Video,2024-02-20 04:35:45,34
128,545,46,Discussion,2024-08-03 23:05:11,70
129,635,15,Video,2024-07-02 18:25:45,64
130,1469,47,Quiz,2024-10-20 12:28:45,82
131,1110,65,Assignment,2025-02-07 12:10:48,57
132,1262,63,Reading,2023-07-05 20:13:30,64
133,551,97,Quiz,2024-10-11 22:38:29,81
134,1274,34,Discussion,2024-03-22 07:33:16,2
135,1293,16,Discussion,2024-07-24 09:34:26,52
136,434,100,Assignment,2023-12-28 16:24:56,51
137,296,39,Reading,2024-03-18 07:44:44,118
138,851,57,Assignment,2024-10-22 16:23:41,87
139,1231,28,Reading,2024-04-07 09:41:15,59
140,1095,51,Discussion,2023-07-14 12:29:41,24
141,1166,62,Quiz,2023-06-15 12:17:08,112
142,759,48,Quiz,2024-07-08 22:07:30,89
143,199,59,Quiz,2025-05-21 15:00:16,82
144,1259,64,Video,2023-10-12 00:13:14,68
145,9,36,Reading,2024-07-31 10:13:02,45
146,244,19,Reading,2024-08-24 10:55:16,12
147,269,65,Reading,2023-09-29 18:20:55,99
148,507,80,Assignment,2024-11-01 15:02:48,79
149,947,11,Video,2023-06-03 11:13:36,114
150,1009,81,Video,2025-04-06 04:38:14,107
151,566,24,Reading,2024-02-17 05:15:36,80
152,999,19,Quiz,2024-11-20 13:55:29,111
153,1082,21,Quiz,2023-09-28 01:07:58,16
154,582,98,Video,2024-09-22 10:17:35,83
155,982,98,Reading,2023-11-23 15:37:42,113
156,1242,15,Quiz,2025-02-27 14:44:41,38
157,516,9,Video,2023-07-30 02:25:08,91
158,94,37,Discussion,2024-11-17 05:30:56,30
159,1442,67,Video,2023-10-22 09:55:04,78
160,1097,2,Quiz,2024-03-30 03:55:09,39
161,804,79,Assignment,2023-06-09 02:10:07,24
162,737,30,Video,2025-05-25 00:07:26,55
163,530,6,Video,2024-10-02 11:53:26,118
164,101,58,Quiz,2024-08-12 17:46:17,11
165,1127,50,Assignment,2024-11-01 00:00:29,42
166,926,72,Video,2023-09-13 17:16:09,46
167,705,88,Quiz,2023-12-31 00:58:28,119
168,426,84,Assignment,2024-12-26 06:44:54,106
169,443,11,Video,2025-03-13 22:13:27,35
170,1413,23,Quiz,2024-04-10 17:48:18,84
171,1315,31,Discussion,2025-05-09 08:41:11,49
172,278,88,Quiz,2024-06-23 10:53:58,13
173,541,38,Assignment,2025-01-26 14:24:51,31
174,942,35,Discussion,2025-01-05 16:00:43,3
175,548,96,Assignment,2024-02-29 06:30:14,68
176,985,38,Assignment,2025-03-31 06:31:54,10
177,722,82,Discussion,2024-03-19 02:04:43,10
178,410,47,Assignment,2024-03-06 01:57:58,77
179,128,50,Video,2024-05-26 11:41:05,10
180,46,55,Assignment,2024-02-14 10:24:33,33
181,1306,42,Assignment,2025-02-12 08:50:31,97
182,916,21,Reading,2024-04-11 21:02:58,29
183,664,87,Video,2024-04-13 17:53:37,116
184,1148,51,Reading,2024-03-03 16:49:53,106
185,387,72,Video,2024-08-02 05:39:45,88
186,1266,56,Video,2023-06-17 15:34:56,56
187,387,15,Reading,2024-03-06 13:47:31,21
188,1133,93,Video,2025-03-10 07:11:03,117
189,248,100,Video,2023-10-18 19:06:57,118
190,1447,71,Discussion,2023-11-02 18:06:20,56
191,527,73,Assignment,2023-06-27 03:56:19,30
192,599,16,Video,2023-06-13 01:42:19,120
193,1411,74,Quiz,2024-03-10 16:21:12,48
194,880,19,Video,2024-10-22 01:42:04,26
195,1258,46,Reading,2024-01-21 17:43:23,8
196,48,13,Reading,2023-11-03 08:39:23,119
197,1257,49,Video,2025-01-04 19:55:26,103
198,800,74,Video,2024-03-07 12:46:13,36
199,708,74,Reading,2024-08-03 11:12:30,63
200,632,62,Video,2025-02-16 02:16:59,16
201,4,92,Discussion,2024-05-23 11:03:05,113
202,901,36,Discussion,2024-08-31 17:40:54,10
203,934,76,Quiz,2024-04-29 11:57:42,10
204,39,48,Assignment,2025-05-04 17:20:09,4
205,1353,76,Reading,2023-10-19 13:20:38,105
206,359,63,Discussion,2023-07-28 07:57:41,24
207,533,29,Reading,2025-04-20 12:36:48,104
208,342,65,Assignment,2023-12-23 02:16:32,77
209,828,87,Discussion,2024-05-28 15:33:28,60
210,76,42,Discussion,2024-04-26 01:05:41,77
211,924,87,Video,2024-04-23 19:29:30,48
212,236,75,Reading,2024-12-07 00:47:48,20
213,111,55,Discussion,2023-11-18 08:44:51,118
214,1085,42,Assignment,2024-11-20 16:48:14,49
215,1196,43,Quiz,2023-11-23 06:13:18,36
216,61,59,Discussion,2024-06-29 03:34:41,10
217,1476,33,Assignment,2024-01-31 14:26:09,69
218,155,5,Quiz,2024-04-25 23:13:47,45
219,592,88,Quiz,2023-09-23 12:54:23,46
220,1265,99,Assignment,2023-06-07 14:48:45,86
221,1005,21,Quiz,2024-11-29 00:38:47,33
222,983,67,Discussion,2024-02-19 18:27:07,39
223,723,87,Video,2024-03-10 23:54:04,82
224,625,53,Video,2023-10-17 18:59:28,49
225,919,48,Assignment,2024-04-27 08:16:15,104
226,1048,17,Assignment,2023-06-20 08:23:58,57
227,144,99,Quiz,2025-01-14 20:46:35,27
228,1265,98,Assignment,2024-12-23 16:07:39,36
229,740,100,Reading,2024-08-30 08:34:44,61
230,1132,81,Reading,2023-10-05 04:08:15,39
231,986,13,Discussion,2025-03-16 23:49:58,21
232,1328,43,Reading,2024-10-27 03:45:58,10
233,840,23,Assignment,2025-02-17 11:18:55,83
234,763,87,Assignment,2024-01-13 03:05:17,44
235,922,13,Assignment,2024-03-21 18:07:51,106
236,1384,98,Assignment,2024-06-13 10:58:24,98
237,912,88,Video,2024-06-04 23:19:56,26
238,1271,3,Reading,2023-09-20 09:50:16,72
239,201,99,Discussion,2025-02-11 19:23:06,46
240,1139,44,Discussion,2025-05-07 20:34:26,18
241,1044,67,Discussion,2024-03-09 15:10:53,27
242,1099,28,Video,2025-02-16 23:35:52,73
243,239,47,Video,2024-05-04 17:23:20,40
244,540,46,Video,2024-03-18 14:53:02,38
245,1476,88,Reading,2023-08-16 04:08:25,32
246,33,50,Assignment,2025-01-04 18:15:14,44
247,1020,9,Reading,2024-05-30 16:42:06,97
248,935,62,Assignment,2024-09-15 19:01:44,14
249,38,60,Assignment,2024-07-11 06:44:10,45
250,1244,98,Reading,2023-10-25 14:48:51,94
251,875,52,Quiz,2023-11-26 19:46:24,63
252,516,31,Video,2023-08-26 06:35:36,21
253,242,66,Assignment,2023-07-17 07:39:23,95
254,1286,90,Quiz,2024-11-22 19:35:11,84
255,1019,55,Discussion,2024-06-05 13:57:54,84
256,198,58,Video,2023-08-25 09:39:27,92
257,58,89,Assignment,2024-05-30 12:06:16,27
258,490,65,Video,2023-06-17 21:58:19,117
259,916,33,Reading,2025-04-06 18:14:53,76
260,1230,5,Reading,2025-02-28 13:25:08,113
